date,expID,channel 1,channel 2,channel 3,Information|Image|Channel|ExposureTime #1 DAPI,Information|Image|Channel|ExposureTime #2 AF647,Information|Image|Channel|ExposureTime #3 AF750,ObjectiveModel,ObjectiveNominalMagnification,Experiment|AcquisitionBlock|RegionsSetup|TilesSetup|MultiTrackSetup|Track|Channel|AdditionalDyeInformation|ShortName #1,Experiment|AcquisitionBlock|RegionsSetup|TilesSetup|MultiTrackSetup|Track|Channel|AdditionalDyeInformation|ShortName #2,Experiment|AcquisitionBlock|RegionsSetup|TilesSetup|MultiTrackSetup|Track|Channel|AdditionalDyeInformation|ShortName #3,Experiment|AcquisitionBlock|RegionsSetup|TilesSetup|MultiTrackSetup|Track|Channel|AdditionalDyeInformation|ShortName #4,Experiment|AcquisitionBlock|RegionsSetup|TilesSetup|MultiTrackSetup|Track|Channel|AdditionalDyeInformation|ShortName #5
220908,E37568-17-1D,DAPI,AF647,AF750,5.979,43.594,304.0779,Plan-Apochromat 20x/0.80 Ph 2 M27,20.0,DAPI,AF488,AF555,AF647,AF750
220908,E38858-16-1H,DAPI,AF647,AF750,5.979,43.594,304.0779,Plan-Apochromat 20x/0.80 Ph 2 M27,20.0,DAPI,AF488,AF555,AF647,AF750
